Trial Number,Angle A,Angle B,N_A,N_B,N_COIN,TIME [s],N_coin / time,,,
,,,,130,44669,25406,676,100005,,
,,,,150,45009,26584,1123,100002,,
,,,,150,44557,26775,1126,100010,,
,,,,150,44596,27063,1145,100003,,
,,,,150,44847,26541,1169,100008,,
,,,,150,44675,26579,1109,100004,,
,,,,150,44750,26913,1196,100005,,
,,,,150,45116,26581,1141,100003,,
,,,,150,44697,26648,1171,100010,,
,,,,150,44811,26500,1199,100003,,
,,,,150,44303,26545,1123,99073,,
,,,,40,44271,29998,928,100002,,
,,,,40,44485,29187,966,98872,,
,,,,40,44990,29622,1016,100004,,
,,,,40,44638,29270,965,100003,,
,,,,40,44681,29717,948,100003,,
,,,,40,44152,29524,945,100002,,
,,,,40,44602,29651,940,99999,,
,,,,40,44495,29455,928,100002,,
,,,,40,44671,29491,1015,100002,,
,,,,40,44508,29769,971,100006,,
,,,,10,44625,29525,1327,100000,,
,,,,10,44568,29367,1395,100010,,
,,,,10,44611,29663,1365,100069,,
,,,,10,45052,29478,1420,100005,,
,,,,10,44673,29293,1343,100001,,
,,,,10,44793,29775,1402,100010,,
,,,,10,44805,29538,1471,100003,,
,,,,10,43917,29173,1347,99110,,
,,,,10,44050,29749,1400,100004,,
,,,,10,44726,29342,1412,100003,,
